#OTU ID	SbDust1S14Nimrod50	SbDust2S31Nimrod67	SbSlp1SNW49Nimrod85	SbSlp2SNW50Nimrod86	SbSlp3SNW51Nimrod87	SbSlp4SNW52Nimrod88	SbSlp5SNW53Nimrod89	SbSlp6SNW54Nimrod90	SbSoil1SA10Osnat73	SbSoil2SA11Osnat74	SbSoil3SA12Osnat75	SbWad1SNW55Nimrod91	SbWad2SNW56Nimrod92	SbWad3SNW57Nimrod93	SbWad4SNW58Nimrod94	SbWad5SNW59Nimrod95	SbWad6SNW60Nimrod96	UvDust1S32Nimrod68	UvDust2S33Nimrod69	UvSlp1CS17Nimrod53	UvSlp1DS16Nimrod52	UvSlp1GS70Osnat26	UvSlp2CS21Nimrod57	UvSlp2DS20Nimrod56	UvSlp2GS71Osnat27	UvSlp3CS25Nimrod61	UvSlp3DS24Nimrod60	UvSlp3GS72Osnat28	UvSlp4GS73Osnat29	UvSlp5GS74Osnat30	UvSlp6GS75Osnat31	UvWaD1CS19Nimrod55	UvWad1DS18Nimrod54	UvWad1GS76Osnat32	UvWad2CS23Nimrod59	UvWad2DS22Nimrod58	UvWad2GS77Osnat33	UvWad3CS27Nimrod63	UvWad3DS26Nimrod62	UvWad3GS78Osnat34	UvWad4GS79Osnat35	UvWad5GS80Osnat36	UvWad6GS81Osnat37
OTU838	314	77	0	0	0	1	1	1	10	4	5	1	0	1	1	0	4	0	0	2	1	6	0	1	6	0	0	4	10	2	4	1	0	4	0	5	12	4	3	0	3	6	3
OTU1172	179	1	0	0	1	2	0	1	0	1	0	1	0	2	0	0	0	0	0	0	0	2	0	0	2	0	2	1	8	3	0	0	1	1	0	0	4	2	0	0	1	0	6
OTU33	7	0	26	26	52	7	28	32	183	165	103	33	96	90	9	65	17	0	1	2	4	107	8	0	94	8	0	14	450	38	127	19	0	415	53	20	2803	24	4	1390	1375	398	740
OTU1067	2	0	0	0	0	0	0	0	10	5	5	0	0	1	1	0	0	0	2	0	0	3	0	1	6	0	0	0	9	0	3	0	0	1	0	0	10	0	0	0	0	0	0
OTU6	23	44	751	200	1159	197	235	408	16	32	93	198	1631	1092	1.561e+04	814	279	673	1.347e+04	3339	834	25	3231	1524	95	1961	1598	484	115	40	186	401	5019	1.816e+04	1461	5975	22	1292	911	3	277	23	32
OTU81	4	0	66	132	9	1	227	51	11	8	7	28	99	4	0	2	4	0	6	0	0	23	0	1	12	1	0	10	990	6	19	2	0	34	2	35	40	0	0	81	30	20	30
OTU356	16	117	2	1	7	1	2	0	2	8	9	1	7	3	8	2	8	2	12	2	1	45	9	0	65	1	1	95	81	34	111	3	7	108	4	8	40	3	1	1	8	13	29
OTU850	7	0	0	0	0	0	0	1	29	28	13	3	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	18	3	4	2	0	0	2	0	2	6	4	0	1	2	2	1
OTU596	200	15	0	0	1	0	2	1	22	20	6	0	0	11	0	0	0	0	3	0	0	15	0	0	7	2	0	9	22	8	17	0	1	2	0	2	24	1	0	3	1	1	3
OTU23	2	15	0	0	1	4	0	0	7	6	2	0	0	1	1	0	0	0	1	3	1	197	1	0	200	0	1	187	219	252	304	2	2	3873	0	3	92	0	2	1	131	134	120
OTU1148	7	0	4	6	25	1	3	1	20	12	5	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	1	5	5	0	0	5	0	0	12	0	0	1	0	2	3
OTU55	61	2	7	3	1	2	3	5	9	9	10	5	4	11	1	1	1	52	1016	2	2	85	0	1	66	4	4	41	162	80	81	8	0	53	5	7	144	11	0	4	45	56	100
OTU194	24	139	2	7	2	0	3	5	8	7	3	0	3	7	2	5	1	4	4	5	0	31	2	2	61	5	1	54	40	65	46	5	2	55	4	2	64	2	3	2	12	22	21
OTU373	14	4	0	5	1	1	0	1	55	67	42	2	6	4	1	0	0	0	1	0	1	60	0	0	52	2	3	114	8	63	59	0	0	222	4	0	15	3	0	2	15	40	26
OTU98	1	5	8	6	3	13	4	5	1	0	2	3	2	3	5	5	2	2	7	1	2	2	0	1	9	1	1	17	0	0	60	3	4	399	2	6	2	4	3	0	3	1	6
OTU277	3	0	2	0	18	20	20	7	80	96	88	13	0	0	0	0	21	0	1	0	0	6	0	0	1	0	1	0	1	50	1	0	0	1	0	8	2	0	3	1	2	0	2
OTU610	2	0	2	1	1	9	0	8	121	132	111	7	0	5	2	0	3	0	2	0	5	1	0	2	2	1	0	1	2	3	1	0	1	2	6	3	7	5	0	1	0	1	0
OTU994	1	0	4	6	0	15	47	8	28	32	29	53	23	84	0	79	6	0	0	0	0	0	0	0	9	0	0	1	54	6	0	1	0	4	4	4	3	2	0	6	6	2	0
OTU219	1	0	2	8	10	16	1	11	43	56	51	0	0	1	0	0	5	0	0	0	1	7	0	0	1	0	1	0	0	204	1	0	1	5	1	2	7	0	0	1	1	0	1
OTU481	2	6	0	0	7	3	2	3	18	18	11	6	1	101	3	7	3	1	2	0	0	0	3	0	1	0	1	1	3	1	0	5	1	7	5	5	4	2	2	0	2	1	7
OTU186	4	0	0	0	1	0	0	2	62	61	7	0	2	0	4	1	1	0	0	5	1	7	4	0	7	1	3	3	5	3	0	0	0	4	1	0	9	2	1	0	7	2	7
OTU11	21	14	60	148	264	230	151	189	1609	1660	927	1618	46	132	12	54	58	3	7	6	7	1492	8	0	1604	19	1	4718	1228	2649	2709	106	4	1018	324	81	664	130	7	38	261	1475	1131
OTU223	1	0	2	2	0	106	3	11	14	51	49	0	0	0	0	0	1	0	0	0	1	5	0	0	4	0	0	3	2	36	0	0	0	2	2	1	4	0	0	0	1	1	0
OTU637	3	0	3	7	0	0	4	0	20	21	19	10	5	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	5	0	1	1	0	2	2	0	0	1	0	0
OTU305	2	1	6	1	8	7	3	5	67	79	75	2	2	3	6	2	1	0	1	3	1	0	1	0	0	1	0	1	3	23	1	3	3	1	6	1	1	2	0	1	0	0	0
OTU76	5	0	0	0	1	2	0	0	8	11	12	3	0	3	0	1	0	0	1	0	0	62	0	0	36	0	0	137	3	109	109	1	0	59	0	0	9	0	1	0	6	57	54
OTU301	45	11	1	0	1	0	1	3	7	6	6	5	2	4	0	0	0	0	2	0	0	9	0	0	30	0	0	19	0	5	27	0	0	17	0	4	5	3	0	0	12	17	4
OTU48	39	36	2	0	2	1	2	6	160	185	136	10	8	236	0	16	21	3	15	1	0	18	1	0	39	0	0	93	112	37	71	4	0	3082	6	53	59	1	0	1	57	9	42
OTU415	1	0	0	0	0	0	0	0	7	14	2	0	0	2	0	0	0	0	1	0	0	23	0	0	21	0	1	27	6	16	28	0	0	19	0	0	12	1	0	0	6	24	3
OTU1274	3	0	0	0	0	0	0	0	34	35	7	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	2	0	1	1	0	0	0	1	0	0
OTU1036	7	0	2	0	4	0	0	0	41	39	16	3	7	49	4	3	3	0	5	0	0	9	0	0	10	0	0	5	11	23	14	4	0	95	0	4	57	2	0	6	18	12	15
OTU546	6	0	0	2	0	1	0	0	62	70	27	1	1	0	1	0	0	0	2	1	0	1	0	0	5	0	0	7	2	11	9	3	0	14	1	0	14	3	0	2	8	8	3
OTU147	52	2	2	1	8	70	57	4	9	37	55	99	1	7	0	0	0	0	8	0	2	36	0	1	52	0	0	95	81	23	34	1	1	34	1	3	85	0	0	1	16	32	15
OTU3	6	0	0	1	0	0	0	0	41	175	38	0	0	1	0	0	0	0	1	0	0	6159	1	0	7587	0	0	2.792e+04	240	1.512e+04	1.15e+04	0	0	5876	0	0	645	1	0	7	209	9618	4904
