Time (h),Replicate ,BRC,Rock,Residual water content (%)
0,1,Present,Dolomite,100
1,1,Present,Dolomite,98
2,1,Present,Dolomite,98
4,1,Present,Dolomite,97
6,1,Present,Dolomite,95
18,1,Present,Dolomite,91
24,1,Present,Dolomite,91
48,1,Present,Dolomite,80
0,2,Present,Dolomite,100
1,2,Present,Dolomite,95
2,2,Present,Dolomite,90
4,2,Present,Dolomite,86
6,2,Present,Dolomite,81
18,2,Present,Dolomite,73
24,2,Present,Dolomite,67
48,2,Present,Dolomite,58
0,3,Present,Dolomite,100
1,3,Present,Dolomite,99
2,3,Present,Dolomite,99
4,3,Present,Dolomite,97
6,3,Present,Dolomite,96
18,3,Present,Dolomite,91
24,3,Present,Dolomite,90
48,3,Present,Dolomite,79
0,4,Present,Dolomite,100
1,4,Present,Dolomite,94
2,4,Present,Dolomite,92
4,4,Present,Dolomite,91
6,4,Present,Dolomite,89
18,4,Present,Dolomite,85
24,4,Present,Dolomite,81
48,4,Present,Dolomite,80
0,1,Removed,Dolomite,100
1,1,Removed,Dolomite,96
2,1,Removed,Dolomite,96
4,1,Removed,Dolomite,96
6,1,Removed,Dolomite,96
18,1,Removed,Dolomite,82
24,1,Removed,Dolomite,80
48,1,Removed,Dolomite,62
0,2,Removed,Dolomite,100
1,2,Removed,Dolomite,89
2,2,Removed,Dolomite,81
4,2,Removed,Dolomite,77
6,2,Removed,Dolomite,66
18,2,Removed,Dolomite,51
24,2,Removed,Dolomite,44
48,2,Removed,Dolomite,32
0,3,Removed,Dolomite,100
1,3,Removed,Dolomite,95
2,3,Removed,Dolomite,95
4,3,Removed,Dolomite,95
6,3,Removed,Dolomite,92
18,3,Removed,Dolomite,75
24,3,Removed,Dolomite,70
48,3,Removed,Dolomite,55
0,4,Removed,Dolomite,100
1,4,Removed,Dolomite,80
2,4,Removed,Dolomite,63
4,4,Removed,Dolomite,51
6,4,Removed,Dolomite,39
18,4,Removed,Dolomite,25
24,4,Removed,Dolomite,16
48,4,Removed,Dolomite,5
0,1,Present,Limestone,100
1,1,Present,Limestone,95
2,1,Present,Limestone,95
4,1,Present,Limestone,95
6,1,Present,Limestone,94
18,1,Present,Limestone,85
24,1,Present,Limestone,81
48,1,Present,Limestone,65
0,2,Present,Limestone,100
1,2,Present,Limestone,96
2,2,Present,Limestone,94
4,2,Present,Limestone,88
6,2,Present,Limestone,84
18,2,Present,Limestone,73
24,2,Present,Limestone,68
48,2,Present,Limestone,53
0,3,Present,Limestone,100
1,3,Present,Limestone,93
2,3,Present,Limestone,93
4,3,Present,Limestone,93
6,3,Present,Limestone,91
18,3,Present,Limestone,79
24,3,Present,Limestone,77
48,3,Present,Limestone,54
0,4,Present,Limestone,100
1,4,Present,Limestone,98
2,4,Present,Limestone,97
4,4,Present,Limestone,96
6,4,Present,Limestone,94
18,4,Present,Limestone,89
24,4,Present,Limestone,85
48,4,Present,Limestone,80
0,1,Removed,Limestone,100
1,1,Removed,Limestone,92
2,1,Removed,Limestone,89
4,1,Removed,Limestone,83
6,1,Removed,Limestone,79
18,1,Removed,Limestone,64
24,1,Removed,Limestone,62
48,1,Removed,Limestone,49
0,2,Removed,Limestone,100
1,2,Removed,Limestone,92
2,2,Removed,Limestone,82
4,2,Removed,Limestone,67
6,2,Removed,Limestone,51
18,2,Removed,Limestone,24
24,2,Removed,Limestone,17
48,2,Removed,Limestone,6
0,3,Removed,Limestone,100
1,3,Removed,Limestone,89
2,3,Removed,Limestone,83
4,3,Removed,Limestone,71
6,3,Removed,Limestone,66
18,3,Removed,Limestone,50
24,3,Removed,Limestone,46
48,3,Removed,Limestone,33
0,4,Removed,Limestone,100
1,4,Removed,Limestone,94
2,4,Removed,Limestone,85
4,4,Removed,Limestone,69
6,4,Removed,Limestone,52
18,4,Removed,Limestone,21
24,4,Removed,Limestone,14
48,4,Removed,Limestone,2
