"","Shannon","Shannon.se","Inv.simpson","Inv.simpson.se","BP","BP.se"
"SbDust1S14",4.103485,0.12976358944336,15.33979,0.485086752286743,0.201359,0.00636753067373845
"UvWad2CS23",4.411915,0.139517002430618,17.461516,0.552181619594727,0.223549,0.00706924008652981
"UvSlp3CS25",2.81149,0.088907120187868,3.873347,0.122485986881802,0.500491,0.0158269150841533
"UvWad3CS27",4.114931,0.130125543744343,13.019388,0.411709198214643,0.262045,0.00828659049458823
"SbDust2S31",1.892442,0.0598442705976437,2.273832,0.0719048813657599,0.658901,0.0208362791256261
"UvDust1S32",2.112,0.0667873041827562,2.194,0.0693803718640942,0.672,0.0212505058763315
"UvDust2S33",0.854613,0.0270252359798948,1.416918,0.0448068813769046,0.837127,0.0264722801082377
"SbSlp1SNW49",3.876712,0.122592397525067,13.927163,0.440415564244236,0.216324,0.00684076552558264
"SbSlp2SNW50",3.68984,0.116682986015957,11.450051,0.362082404850886,0.261543,0.00827071586073418
"SbSlp3SNW51",3.678188,0.116314517422994,14.367353,0.454335594276531,0.1671,0.00528416597014136
"SbSlp4SNW52",4.455309,0.140889241198471,41.482861,1.3118032462017,0.096626,0.0030555824119143
"SbSlp5SNW53",4.610128,0.145785047849167,52.118525,1.64813247288427,0.083968,0.00265530130569018
"SbSlp6SNW54",4.197826,0.13274691381074,20.275614,0.641171211983972,0.186825,0.00590792523860957
"SbWad1SNW55",4.340979,0.137273809149601,28.761382,0.909514757741689,0.117822,0.00372585878476359
"SbWad2SNW56",3.494476,0.110505033887946,10.975501,0.347075816214557,0.222182,0.00702601175091531
"SbWad3SNW57",4.315656,0.136473025577716,40.86479,1.29225812504472,0.06174,0.00195239022738796
"SbWad4SNW58",0.490597,0.0155140393324563,1.159196,0.0366569961455654,0.928632,0.0293659222811748
"SbWad5SNW59",3.918156,0.123902971878547,25.381875,0.802645362856863,0.118205,0.00373797030820203
"SbWad6SNW60",4.322838,0.13670014035927,25.899595,0.819017106759087,0.156427,0.00494665607547159
"UvSlp1GS70",3.566302,0.112776371440138,14.263113,0.451039236043572,0.194818,0.00616068609198683
"UvSlp2GS71",3.336637,0.105513726451912,12.462182,0.394088797355525,0.207137,0.00655024707694298
"UvSlp3GS72",3.001077,0.0949023875354514,10.143821,0.320775785370469,0.226662,0.00716768179009085
"UvSlp4GS73",3.127835,0.0989108274519276,5.197724,0.16436646488921,0.429341,0.0135769545289435
"UvSlp5GS74",3.504269,0.110814715739206,13.686778,0.432813923090841,0.160612,0.00507899739554964
"UvSlp6GS75",3.12763,0.0989043447827243,10.506825,0.332254979767986,0.239681,0.00757937871866817
"UvWad1GS76",3.630267,0.114799122345465,17.131374,0.541741612881894,0.15013,0.00474752745121079
"UvWad2GS77",3.655093,0.115584189397378,17.316619,0.547599574133473,0.136876,0.00432839917013207
"UvWad3GS78",2.856204,0.0903211010208357,7.689253,0.243155529852827,0.319193,0.0100937689318213
"UvWad4GS79",3.445082,0.108943058460482,12.127354,0.383500606311536,0.225637,0.00713526844407413
"UvWad5GS80",3.141328,0.0993375135766141,11.75386,0.371689688987467,0.167786,0.00530585919489012
"UvWad6GS81",3.546766,0.112158588876448,17.955243,0.567794638217947,0.122533,0.00387483368533412
"SbSoil1SA10",5.562753,0.175909695409346,135.603355,4.28815460160382,0.043279,0.00136860214854427
"SbSoil2SA11",5.626644,0.177930106229204,158.102368,4.9996358634612,0.032503,0.00102783510788453
"SbSoil3SA12",5.5954,0.176942084197062,166.048053,5.25090048516355,0.027885,0.000881801125537953
