"","S.obs","S.obs.se","S.chao1","S.chao1.se","S.ACE","S.ACE.se"
"SbDust1S14",246.335,7.78979667417578,410.33820681225,38.874663405044,436.192925137578,13.0614680855424
"UvWad2CS23",263.332,8.3272890080746,458.749900004945,45.7147990228534,487.887738154108,13.7175340227976
"UvSlp3CS25",159.227,5.03519984995631,382.532955529377,66.6690377927772,417.207981533281,13.2846055428639
"UvWad3CS27",238.656,7.54696537265145,459.941560263564,53.7986338978687,493.685409275156,13.9829173967246
"SbDust2S31",92.164,2.91448158271759,232.480406710107,57.344347452289,233.109954350679,9.53534841294768
"UvDust1S32",170,5.37587202228625,372.121212121212,53.1357624094419,440.285222071324,13.2010202672683
"UvDust2S33",44.522,1.40790925986017,146.831667138417,56.0329215071446,181.816369975598,7.3081355228497
"SbSlp1SNW49",201.064,6.35820195464095,365.677516593658,44.5819999501436,376.331887476329,11.6916729728901
"SbSlp2SNW50",171.39,5.41982768176258,309.604165394387,41.8275542331061,309.319333597423,10.3438957979595
"SbSlp3SNW51",185.578,5.86849163618727,385.451122818943,55.0522848942991,410.164504328564,12.9269778637322
"SbSlp4SNW52",214.283,6.77622343853861,367.902345778513,40.9743801453128,390.337478726917,12.287624184797
"SbSlp5SNW53",216.51,6.84664736203056,359.892599689232,39.2590781029849,374.419922645636,11.4599259046319
"SbSlp6SNW54",224.05,7.08508309760725,423.28800726392,50.2039640127865,462.092240302431,13.794090893559
"SbWad1SNW55",217.664,6.8831400462289,386.31244087657,45.0270077862067,387.700140639852,11.609782432451
"SbWad2SNW56",155.367,4.91313593227381,278.634636711982,39.2460622104711,278.122023960283,9.70232413154763
"SbWad3SNW57",183.609,5.80622638905856,299.300928988208,34.9395803613363,298.715473197154,9.79544376410064
"SbWad4SNW58",43.778,1.38438191406851,203.883411147186,85.7002132998618,290.939231991719,7.32555599942856
"SbWad5SNW59",142.918,4.51946398635944,248.545109838269,37.0806739731998,238.077905722182,8.64099586937139
"SbWad6SNW60",223.166,7.05712856309137,404.228460309739,46.6115811487562,429.161317258612,12.8850378147069
"UvSlp1GS70",163.131,5.15865516980928,438.716159230414,83.4232026231941,498.615381416866,14.7197798385438
"UvSlp2GS71",129.16,4.08439782587348,305.545875848506,59.720597006416,370.341988555987,12.9527675151287
"UvSlp3GS72",91.557,2.89528655732036,235.11090922984,61.3472660129328,252.619695903069,9.98072458159976
"UvSlp4GS73",157.143,4.9692979835184,285.575278215643,39.5308579052243,294.676561678515,10.547691895763
"UvSlp5GS74",153.607,4.85747984545484,320.791468401291,51.2184665437247,359.105330604837,12.458297428399
"UvSlp6GS75",102.586,3.24405416046033,220.674329236479,46.2103588684511,247.651871216054,10.1714346327538
"UvWad1GS76",151.728,4.79806064822028,343.932187145015,60.4594670724344,376.074953007096,12.5833664475267
"UvWad2GS77",165.59,5.23641557747282,393.312213045357,67.4578566929188,439.979035780572,13.8525703388443
"UvWad3GS78",75.131,2.37585082886111,136.117540115444,29.6541494142439,136.486975707351,6.66949339146513
"UvWad4GS79",141.281,4.46769750106249,314.168204512114,57.011214206779,322.298981915832,11.2457614890801
"UvWad5GS80",96.657,3.05656271798895,223.498803187692,53.7629578645056,220.48918887396,9.03982839411464
"UvWad6GS81",117.555,3.71741550341094,253.961567000048,52.0768773410785,258.579920234266,9.8428089753275
"SbSoil1SA10",415.82,13.1493829665122,704.218310525026,52.0518766266547,761.38783497321,17.562371151495
"SbSoil2SA11",424.389,13.420358539212,706.265424207433,50.5309282159056,755.364297203102,17.1948877868032
"SbSoil3SA12",407.838,12.8969699636775,679.562530859192,50.1941006769884,722.740159659935,16.7945454632619
