"","Order","Climate - P","Climate - Eta","Source - P","Source - Eta","ClimateXSource - P","ClimateXSource - Eta","Arid dust vs Arid limestone","Arid dust vs Hyperarid dolomite","Hyperarid loess soil vs Arid limestone","Hyperarid loess soil vs Hyperarid dolomite","Hyperarid dust vs Hyperarid dolomite","Arid limestone vs Hyperarid dolomite","Arid limestone vs Arid loess soil","Hyperarid dolomite vs Arid loess soil"
"1","Burkholderiales",0.0115538396597716,0.314564328405159,0.011380533565014,0.49451743181847,0.87637284563312,0.0298430980783921,0.189342686077272,1,0.145434212691163,0.0727171063455814,0.147266533615656,0.00204907747751985,0.0307733026406906,0.064637427862739
"2","Sphingobacteriales",0.2688211359694,0.128208716641737,0.011380533565014,0.49451743181847,0.87637284563312,0.0110170613700026,0.760460587518675,0.376533226415337,1,0.155101101485439,0.160921067369927,0.010215810849991,0.0307733026406906,0.754992459021743
"3","Enterobacteriales",0.514796155043683,0.0690531613715005,0.000549665460143345,0.707175661708534,0.87637284563312,0.0294020418084589,0.341807040461595,0.26507976050818,0.145434212691163,0.0461599539610359,0.126249722784146,0.00204907747751985,0.0307733026406906,0.247724321725733
"4","SubsectionII",0.2688211359694,0.128208716641737,0.0867210528699537,0.49451743181847,0.87637284563312,0.0091673032849502,0.83647064469506,0.376533226415337,1,0.0673897647383216,0.160921067369927,0.104336304701649,1,0.113915022840403
"5","Rhizobiales",0.0115538396597716,0.314564328405159,0.157480553256353,0.49451743181847,0.711862205605382,0.12235803412274,0.797633068478949,0.458621748482539,1,0.0727171063455814,0.522816653919089,0.00236816858357771,0.0307733026406906,0.569705208229302
"6","Subgroup_4",0.54872077042988,0.0690531613715005,0.011380533565014,0.49451743181847,0.87637284563312,0.0295798319327732,0.83647064469506,0.376533226415337,1,0.155101101485439,0.147266533615656,0.0309973109305486,0.0727171063455814,0.0307733026406906
"7","Sphingomonadales",0.82284837677764,0.0243023412573587,0.136836397483882,0.49451743181847,0.87637284563312,0.0294020418084589,0.927264473525232,0.74065927787331,1,0.701064426234476,0.126249722784146,0.320290710913463,0.683646249875162,0.766097204836252
"8","Caulobacterales",0.0991341283358086,0.191398912506179,0.011380533565014,0.49451743181847,0.87637284563312,0.0217389582095463,0.797633068478949,0.376533226415337,0.97663749982166,0.0551648657874911,0.126249722784146,0.00528652625994933,1,0.0307733026406906
"9","Rubrobacterales",0.111850924672446,0.191398912506179,0.011380533565014,0.49451743181847,0.87637284563312,0.0110170613700026,0.189342686077272,0.190740088485215,0.145434212691163,0.942467587414419,0.126249722784146,0.0441931956022946,0.0727171063455814,0.828593075218647
"10","Cytophagales",0.00907414384718486,0.355916056262077,0.929249602602033,0.219272307853623,0.735399857911392,0.091808844750021,0.731224518713349,0.190740088485215,0.892852202276364,0.372021750948485,0.126249722784146,0.0251341679216204,0.75054972428158,0.05776265548999
"11","Micrococcales",0.181022941873578,0.16222531793466,0.0814373572953643,0.49451743181847,0.87637284563312,0.0217389582095463,0.189342686077272,0.26507976050818,0.928385666541499,0.372021750948485,0.43873471122801,0.707453967702075,0.0912859245569078,0.064637427862739
"12","Frankiales",0.514796155043683,0.0690531613715005,0.478919132944411,0.49451743181847,0.87637284563312,0.0110170613700026,0.760460587518675,0.64346665097734,1,0.883832613566556,0.360345659521995,0.622251164482883,1,0.766097204836252
"13","Deinococcales",0.658640676460824,0.0604682514717116,0.011380533565014,0.504707380278315,0.87637284563312,0.0666390192440613,0.189342686077272,0.190740088485215,1,0.428485692249923,0.126249722784146,0.622251164482883,0.0307733026406906,0.0307733026406906
"14","Solirubrobacterales",0.0297893238334442,0.273233571503467,0.011380533565014,0.49451743181847,0.87637284563312,0.0091673032849502,0.189342686077272,0.376533226415337,1,0.0461599539610359,0.160921067369927,0.00556967956340347,1,0.0307733026406906
"15","Acidimicrobiales",0.100366268210163,0.191398912506179,0.00153161000551982,0.638310180400146,0.87637284563312,0.0217389582095463,0.189342686077272,0.64346665097734,0.145434212691163,0.0461599539610359,0.126249722784146,0.00556967956340347,0.0307733026406906,0.0307733026406906
"16","JG30-KF-CM45",0.00907414384718486,0.342447310474992,0.0253793130251493,0.49451743181847,0.87637284563312,0.0166369578134284,0.189342686077272,0.83647064469506,1,0.0461599539610359,0.360345659521995,0.00204907747751985,1,0.0307733026406906
